#Channel Energy Counts
1292 246.832 132460
1293 247.004 131365
1294 247.176 131269
1295 247.348 131660
1296 247.52 131004
1297 247.692 130398
1298 247.864 130900
1299 248.035 130715
1300 248.207 129991
1301 248.379 130155
1302 248.551 129876
1303 248.723 129491
1304 248.895 129339
1305 249.067 129186
1306 249.239 129029
1307 249.41 129611
1308 249.582 128339
1309 249.754 128660
1310 249.926 128501
1311 250.098 128227
1312 250.27 127971
1313 250.442 127821
1314 250.613 128188
1315 250.785 127959
1316 250.957 127697
1317 251.129 127519
1318 251.301 127693
1319 251.473 126832
1320 251.645 127429
1321 251.816 127331
1322 251.988 126872
1323 252.16 126819
1324 252.332 126652
1325 252.504 127029
1326 252.676 126630
1327 252.848 126772
1328 253.019 125722
1329 253.191 126286
1330 253.363 125668
1331 253.535 125973
1332 253.707 126103
1333 253.879 125837
1334 254.051 126007
1335 254.223 125528
1336 254.394 125342
1337 254.566 125805
1338 254.738 124710
1339 254.91 125379
1340 255.082 125300
1341 255.254 125424
1342 255.426 125135
1343 255.597 125173
1344 255.769 124909
1345 255.941 124603
1346 256.113 124107
1347 256.285 123653
1348 256.457 124053
1349 256.629 123904
1350 256.8 123900
1351 256.972 124155
1352 257.144 124610
1353 257.316 124056
1354 257.488 124590
1355 257.66 123630
1356 257.832 123597
1357 258.004 123926
1358 258.175 123617
1359 258.347 124007
1360 258.519 123215
1361 258.691 123497
1362 258.863 122645
1363 259.035 123198
1364 259.207 123599
1365 259.378 123351
1366 259.55 123653
1367 259.722 123319
1368 259.894 123362
1369 260.066 123435
1370 260.238 123357
1371 260.41 123204
1372 260.581 122779
1373 260.753 124548
1374 260.925 123434
1375 261.097 124492
1376 261.269 125031
1377 261.441 124784
1378 261.613 125564
1379 261.784 126256
1380 261.956 127114
1381 262.128 127779
1382 262.3 129697
1383 262.472 130655
1384 262.644 130900
1385 262.816 132638
1386 262.988 133025
1387 263.159 133522
1388 263.331 133367
1389 263.503 133975
1390 263.675 133347
1391 263.847 131162
1392 264.019 129934
1393 264.191 128968
1394 264.362 127918
1395 264.534 125982
1396 264.706 125168
1397 264.878 124437
1398 265.05 123673
1399 265.222 123253
1400 265.394 122111
1401 265.565 122512
1402 265.737 122387
1403 265.909 122433
1404 266.081 123460
1405 266.253 123534
1406 266.425 123611
1407 266.597 124409
1408 266.769 123961
1409 266.94 124948
1410 267.112 125707
1411 267.284 126352
1412 267.456 125798
1413 267.628 125374
1414 267.8 125509
1415 267.972 124721
1416 268.143 124595
1417 268.315 123284
1418 268.487 123360
1419 268.659 122414
1420 268.831 121941
1421 269.003 121484
1422 269.175 120976
1423 269.346 121062
1424 269.518 120663
1425 269.69 119211
1426 269.862 119483
1427 270.034 118558
1428 270.206 119052
1429 270.378 118447
1430 270.549 118622
1431 270.721 119230
1432 270.893 118649
1433 271.065 118488
1434 271.237 117756
1435 271.409 117680
1436 271.581 118932
